bias,text
neutral,"Reminder: Next week, my office will be holding mobile office hours in Sachse and Wylie. Learn more: http://t.co/38p28m2O0I #TX32"
partisan,This wk‰ŰŞs 1 min video is on how expanding Medicaid in #WV will help so many families get affordable health care. http://t.co/VDUMX9R4x5
neutral,Thinking of all those affected by the severe weather today - especially in Oklahoma.  Stay safe.
partisan,Remember Bill? He and his friends are stuck on @SenatorReid's desk. #4jobs http://t.co/0DCNU1R3G7
partisan,Slashing Amtrak‰ŰŞs funding by 1/3 at a time of increasing ridership will hurt PA‰ŰŞs economy. http://t.co/dqtBbksslg https://t.co/4y6igwxWnr
neutral,"American #energy production is creating #jobs, holding prices down, and promoting energy independence: http://t.co/Pw6cdXrHiR"
partisan,"#Obamacare spawning a new concept: ""medical homelessness.""  http://t.co/mmupzZKMqJ"
partisan,"MUST READ from @marcthiessen -- ""Kidnapped Libyan prime minister pays the price for an Obama leak"" http://t.co/MHHab1V0XD"
partisan,Delaying or refusing to vote to #RenewUI has real life consequences for 2.8 million Americans- http://t.co/srPRCzH2Dg http://t.co/FYzWGvwKXz
partisan,"In his office in the @uscapitol, Senator McConnell congratulated &amp; welcomed Senator-elect Bill Cassidy to the Senate http://t.co/fyZY42ddZP"
neutral,".@HouseofCards, if you don‰ŰŞt like Long Island wine, I suggest giving @FLXWineCountry or @Niagwinetrail wines a try."
neutral,"""Six enrolled on health site on Day 1"" via @politico. #trainwreck http://t.co/ng4OzR3pab"
neutral,$10M in federal funds will help relieve congestion around @FtMeadeMD! More: http://t.co/biOp5x3HYX
partisan,Job well done by the members of the SC House of Representatives who voted down Medicaid expansion yesterday.  #scnews
neutral,Gearing up for coffee w/ constituents this morning at D &amp; K's Gretna Cafe at 8:30. Be sure to stop by..looking forward to speaking w/ folks!
neutral,.@askgeorge has been a dedicated public servant &amp; his leadership on @edworkforcedems will be missed. I wish him the best in retirement.
partisan,"#Florida is ""tale of what went right with President Barack Obama's health care overhaul‰Űť despite GOP opposition: http://t.co/bhsAcU3Wje"
neutral,"If you are in DC tomorrow &amp; want to #MakeGovernmentWork, join us #ProblemSolvers in showing America that some of us are here to #FixNotFight"
neutral,FL delegation shining spotlight on VA health care in sunshine state http://t.co/CdeEXuC1C5
neutral,Meeting the press in #Jerusalem with @GrahamBlog #Israel http://t.co/FIbhbOpSwh
partisan,"Video of my speech on house floor, rejecting #GOPBudget that cuts jobs in #WI and turns #Medicare into a voucher http://t.co/tItIxBrF4C"
partisan,What other options are there for raising $350 billion with such a negligible impact on middle-class Americans and Main Street businesses?
neutral,Thanks to LI Farm Bureau for hosting me to speak directly with farmers about issues most important to them http://t.co/ttbdLjiMjd
neutral,"For 23 years, the Americans with Disabilities Act has been opening doors for tens of millions of Americans. http://t.co/tezFwZ1iS1"
neutral,Is that delight or terror MT @LyndaWoolard Can u see my delight when Cory taught me how 2 take a selfie in yesterday? http://t.co/GJd2pmcMOY
neutral,"RT @AAAS_News: ""Basic science is a riskier investment compared with applied research, but one with larger potential payoffs,"" #OpEd http://‰Ű_"
neutral,Promising @FannieMae is paying back more $ to US taxpayers. Reinforces 5 yrs after crash we need #GSEreform to help prevent another bailout
partisan,#KXL oil export strategy makes US a middle man &amp; worsens #climatechange.Senate shld reject it http://t.co/Z8fiHvgckO http://t.co/p4pk9gfw4r
partisan,WTVW-TV report: McConnell sponsors Sunscreen Innovation Act (+playlist): http://t.co/J0yooWhFTR #Kentucky
neutral,We need to work together to find real solutions to @FixtheDebt before @TheCanKicksBack http://t.co/5HXcsgTn79
neutral,Congrats to the #coleg - last day of session.
partisan,DemandarĚÁ Obama un recuento en #Venezuela? Creo q deberĚ_a. Lee mi carta y tweet @whitehouse para decirle lo q piensas http://t.co/wrhmJLBKzh
neutral,As @RepJoeGarcia says this isn't everything each side wants but is a point for reasonable bipartisan support to fix the broken system.
neutral,ICYMI: I spoke with @WolfBlitzer tonight about the #SonyHack &amp; North Korea. http://t.co/PRvJK3Nb3C
neutral,Hosting the #Colorado30 Group today on the Hill. Strengthening connections with CO  leaders on national defense. http://t.co/wJP0yUN2AF
neutral,Looking fwd to #ThirteenSoldiers book signing tomorrow @ChangingHands Bookstore in #Tempe - more info: http://t.co/tvuwI3Xbuz #Arizona
partisan,Today marks the 4th time in 5 years that Pres. Obama missed the legal deadline to submit his budget plan: http://t.co/RivWKVg1 #RequireAPlan
neutral,"Come get help w/fed agencies at Mobile Office Hrs: Th, 11am-12:30pm, Acacia Library (750 E. Townley Ave, Phx). http://t.co/83jgOjKirc"
partisan,The Obama economy just isn‰ŰŞt cutting it for hardworking Americans ‰ Ő http://t.co/yagUZrvj6i
neutral,"Great to see Ft Monroe Authority Ex. Dir. Oder, Dr. Wagner &amp; Dr. Koch at the State of the Region presentation in Hpt http://t.co/DtPxkJWBsi"
neutral,Joining the @FoxMorningNews in Roanoke just after 8AM. Hope you'll tune in! #VA06 #rke
neutral,"RT @jaketapper: Pentagon:  Sgt. Stephen New, 29, of Bartlett, TN, died July 28 in Bagram after unit was attacked by small arms fire http://‰Ű_"
partisan,"DoD Secy Chuck Hagel, reportedly in charge of #Bergdahl exchange, claimed he ""doesn't know..."" today via @FreeBeacon https://t.co/tLImg8ASlt"
partisan,Can it be any clearer? Lerner and #IRS were covering their tracks! http://t.co/C2P3NsOkP9
neutral,Hear my recent discussion on #Syria with Ireland‰ŰŞs @rtenews (begins at 5:45):   http://t.co/vKeyErEUj4
partisan,RT to tell President Obama the buck stops with him. http://t.co/n8t627WxCn #IRS #IRSscandal #Benghazi
partisan,"Must Read: How to get a raise at McDonald‰ŰŞs - @HaroldMeyerson, @WashingtonPost: http://t.co/zh4cva5Txz #StrikeFastFood"
neutral,The number of people signing up for health insurance continues to increase.
neutral,RT @HouseHomeland: ICYMI: Chairman @McCaulPressShop on @CBSThisMorning on the #Boston bombing investigation and yesterday's hearing: http:/‰Ű_
neutral,Thanks to @MayorNoak and #WillCounty Larry Walsh for joining me @LewisUniversity Airport for today's good news. http://t.co/txSt4JgJEl
neutral,Thoughts &amp; prayers are w/ the families of the 3 innocent Israeli teens. Abbas must denounce terrorism &amp; bring those responsible to justice
partisan,"President Obama wanted 3 things on gun control -- ban assault weapons, limit magazine sizes, and expand background checks. He'll lose all 3."
neutral,Happening now: Ways &amp; Means hearing w/ IRS Commissioner Koskinen. Tune in to http://t.co/u9cJET2oml to hear my question re: ACA tax concerns
neutral,Don't forget to cast your vote #FL17 Congressional Art Competition. Winner will hang in US Capitol https://t.co/hRHzBBGi8W #sayfie
neutral,"Just about to join @seanhannity's radio show at about 4:05pm ET, listen live http://t.co/BwXaP3KjKV"
neutral,Senate passes #VAWA reauthorization in vote of 78-22
neutral,Attending the State of the Union. http://t.co/nKfjFwzz
partisan,"I'm on the House floor to manage the rule for the House GOP plan to keep govt open, stop #ObamaCare &amp; protect troops: http://t.co/7PlgqhX4g4"
neutral,Was an honor &amp; a privilege to visit &amp; thank @WYOguard troops stationed in #Bahrain this 4th of July weekend. http://t.co/rX1RdulMYx
partisan,Senate will be done but mess inHouse:Republican hardliners block strategy to avoid shutdown  @washingtonpost http://t.co/ARxkbe8bbk
neutral,ICYMI: I talked to @MyDesert about how Congress will have to work together to pass a strong #CIR bill in the House http://t.co/1syj2GeV4c
partisan,Parents want to know their kids are in a safe place w/ qualified providers. CCDBG is essential 4 #ChildCareProtection http://t.co/WXfvAgfe2L
partisan,Should Utah be forced by the EPA to lower ozone levels below the naturally occurring level? http://t.co/ONGfKQxOKK @UtahPoliticoHub #utpol
neutral,"""Landrieu still has only about a 1-in-3 chance of winning even when her incumbent status is included"" http://t.co/dTCGtHynv8 #LASEN"
neutral,@MatthewWYMT &amp; @MichelleWYMT stopped by my office earlier to talk about #RxDrugAbuse. Watch @WYMT at 6PM. http://t.co/28tCNbGFCA
neutral,"So very sad to hear about the passing of Jim Ragsdale. He was a true professional &amp; a kind soul.  Jim, you will be missed greatly."
neutral,"""Balboa Park is the only place in USA with 28 major cultural institutions w/in 1 sq mile."" #arts cc:.@RepSusanDavis http://t.co/XGGrkDI9Iv"
neutral,"PHOTO: Joined ""World's Most Interesting Man"" (from America's Most Interesting State) @ #landmines event on Cap. Hill http://t.co/6cVbofvNLu"
neutral,"W/RI Cong delegation, Mayors, police, @tenygross &amp; families affected by guns to present unified voice on gun safety http://t.co/9e78ICsvOq"
neutral,Congrats @Hanscom_AFB C-IED Team! Their work on detecting &amp; destroying IEDs earned the Theodore von Karman Award http://t.co/2wOiL3arPt
neutral,Since 1970 our spending has grown 288% while the median income has grown only 24%-- a difference of 264%. http://t.co/G5q55bWI #tcot
neutral,Mandela. Chg. South Africa chg the world. Inspired hearts n minds of millions of us. Condolences to his family n south african people
neutral,"Got a mess of oysters and clams out on Sound this morning. These guys have a rendezvous with white wine, fresh garlic, shallots and pepper."
neutral,RT if you think America succeeds when #WomenSucceed http://t.co/uBQRhIKuvg
neutral,Tips for staying warm should you be outside this week helping clean after recent storms via the Coal City Courant: http://t.co/j5hwgEkIdP
neutral,RT @kevinscholla: My interview w/@RepDavid Schweikert on @SarahNETRadio! Huge meeting coming up w/constituents! http://t.co/Pf2edk5kxG ‰Ű_
neutral,"St. Robert Community Center, 114 JH Williamson Dr. In St. Robert (2 of 3)"
neutral,Joining @RobbHanrahanCBS on Face the State on @CBS21NEWS around 11:30 this morning to talk about #Ebola. http://t.co/WCqg6KpPF5
neutral,"In the hustle and bustle of the holidays (and don't forget its also Iron Bowl week), I know its easy to get distracted."
neutral,"Great to see -- @johnerardi says, ""Ted Kremer will be @Reds' batboy tonight"" http://t.co/mmmBPMLauQ"
neutral,Celebrating @USMC 239th bday at So. NV Marine Corps Ball - largest non-active duty ball in the world! Semper Fi! http://t.co/f8D9AoNFpL
partisan,Now is the Time to Balance the Budget http://t.co/AaOKH9gG
neutral,Welcome to @SenateBanking @Sen_JoeManchin @elizabethforma @SenatorHeitkamp @TomCoburn &amp; @SenDeanHeller. Look fwd to working with all of you.
neutral,"April is Sexual Assault Awareness Month. According to @RAINN01, 60% of sexual assaults are not reported to police. #StandUp #SAAM"
neutral,House GOP r focused on pro-growth bills #4jobs. It‰ŰŞs time #SenateDems act on these bills so ppl can get back 2 work http://t.co/DJSsQxyUrC
neutral,.@kerrywashington Congrats on @ELLEmagazine cover! So excited for you! #girlpower
neutral,#SFRC hearing today at 10:00 a.m. ET with Secretary Kerry. Watch live: http://t.co/Ay1KZ8x97x
partisan,For 3 mos. the IRS failed to tell Congress they couldn't provide Lerner emails. My speech abt need for accountability:http://t.co/spq6b3D5nW
neutral,Been discussing Impact Aid &amp; military students in Mascoutah. 60% of students at Mascoutah are affiliated w/ @ScottAFB http://t.co/I2prVghIfL
partisan,Thanks to the Pawnee County folks who turned out to the Town Hall meeting in Larned. These folks are‰Ű_ http://t.co/sqsEF5p5vL
partisan,.@theobserver editors agree the President's admin earned their reputation for obfuscation &amp; disregard for failures http://t.co/mpotP2fw1k
partisan,It's time the Obama Admin answer to the American people on #Benghazi. Four Americans were murdered and no one has been held accountable.
neutral,Rep. Wilson commemorates the third anniversary of the earthquake with a call to action: Remember #Haiti. http://t.co/05VbzrDW
partisan,"Vets groups, editorials, Democrats agree: more funding ‰äĘ more #VAaccountability http://t.co/9i3lXJxzaC"
neutral,"Looking for Job? Help me, help residents looking for a job. Participate in our Roundtable on Unemployment. Call my Office at 202-408-9041."
neutral,Traveling 6th District! Spent Tues speaking to @fwhcc &amp; awarding Ryan Esplin the TDF Foundation Veterans Scholarship https://t.co/JYLQNqaMwJ
neutral,Great crowd at the town hall tonight. Thanks to all those who came out and asked questions. http://t.co/ne0OdbFo8u
partisan,Almost one year since the Senate passed comprehensive immigration reform. The #TimeIsNow for the House to act! http://t.co/seSuk4jjwG
neutral,I am deeply concerned by and condemn the over 400 rocket attacks launched by Hamas against Israel. http://t.co/cUa9vEK9pq
partisan,"RT @UANI: The only vote that counts in the #iranelection today: that of the unelected ""Supreme Leader"" http://t.co/a3acacQqrh"
partisan,@ladybigmac @SpeakerBoehner @virginiafoxx @RepTomReed @KeithRothfus @RepKevinCramer Yep Obama uses fed agencies against political opponents
partisan,"@gillespie_r6 let's not make the same mistake in the future by appreciating fully what happened. Yes, let's move forward, but facts matter."
neutral,Congratulations to Sally Jewell for being officially sworn in as the new @Interior secretary: http://t.co/Zi07xEh0gd
neutral,Our #MadeInWI economy is always cooking up something good! Check out @MadisonCollege's new culinary training center. http://t.co/19lRCCwwpp
partisan,"The faces of hunger are veterans, children, seniors, and the disabled. .@GOPLeader Don't cut #SNAP. #EndHungerNow http://t.co/ZVImYZi1Kc"
neutral,#Delco County Council Chairman Tom McGarrigle has declared a #weather-related State of Emergency
neutral,"Today, I held an Autism round table at Peaceful Living in New Britain. Great dialog between local groups in the... http://t.co/qpFmEVzMm3"
neutral,Thanks @ONEcampaign for visiting my St. Paul staff &amp; for all the great work you do fighting global #poverty &amp; #hunger http://t.co/xCsocfoEwc
neutral,"#ProDDEnergy Here's the thing: Oil &amp; wind don't compete. Yet @Stabenow said this morning that ""wind needs to catch up."""
neutral,I'll continue working for strong bipartisan comprehensive #immigrationreform plan including #DREAMAct w support of groups like @CT4aDREAM
neutral,Need to find most effective ways to address this #addiction crisis so that people like the Griffins know where to go to get help
partisan,"The President must never be able to make unilateral decisions about enforcing some laws, but not others. http://t.co/cVaIt2em3X"
partisan,"President Obama missed this year‰ŰŞs legal deadline to submit a budget to Congress, just like he has nearly every year of his presidency."
partisan,".@DeltaDiva3 One idea is to allow students to pay the same rate on govt loans as big banks, which are currently about 0.75% #AskDems"
neutral,School shootings should not be our nation's norm.  http://t.co/VECoS6ErSB
neutral,My stamement on the House passed appropriations bill: http://t.co/G7VhSaHfm6
neutral,"Yesterday, I shared Janet‰ŰŞs story on the House Floor. http://t.co/s1kYR2TZ9f"
neutral,@SenDanCoats Great movie!
neutral,Honored to spend time with employees at Boeing last night to celebrate their long history of service to our country. http://t.co/WDeQG0odmO
neutral,"Meeting with my friend Governor Perry this morning, who is in town to address CPAC"
neutral,TUNE IN starting @ 9:30am CT for live video of USS North Dakota christening ceremony http://t.co/XynmDj6Jx5 or http://t.co/yEsSJbsVTf
neutral,"Today: Farmington, EHartford, Willimantic, Thompson, Hartford, Manchester."
neutral,"My sympathy and my prayers go out to the families of the victims, and the Quantico community."
neutral,We join together this month to commemorate Black History Month to honor the remarkable accomplishments and... http://t.co/sUEkAZ8crM
neutral,"#RyanBudget hurts everyone in this country. When it comes to Medicare, it hurts seniors on the program now and seniors in the future."
neutral,Always great to see Senator Richard Bryan. #HomeMeansNevada #BattleBorn http://t.co/KsBvjCADny
neutral,At the @AntiochPolice 47th neighborhood cleanup working to keep #Antioch &amp; #CA9 clean http://t.co/OxzGMnIcjl
neutral,3 Arkansas counties have been designated as federal disaster areas. My statement: http://t.co/nUBElBgdft
partisan,ICYMI -  @USATODAY on legislation I introduced to improve research for Veterans struggling with Gulf War Illnesses http://t.co/STy3E46t8B
neutral,We're running out of time to renew the Highway Trust Fund. It's time to act: http://t.co/q4oDVjtPTE  http://t.co/YuI9XOFjOA
partisan,".@AtHomePundit CR isnt good policy bc we cant adjust spending levels, but its better than shutting down gov. We shld return to regular order"
partisan,"As Obama talked abt infrastructure projects, I heard a firsthand account of how delay of #Keystone negatively impacted business. #Time2Build"
neutral,Enjoyed it! ‰ŰĎ@AttyAbdul: Good chat with @RepLarryBucshon @93wibc. Up next @MayorBallard‰Űť
neutral,"Let‰ŰŞs thank our #Veterans 4 their service + sacrifice! Ceremony, parade + picnic Tue Nov 11 @ 11AM http://t.co/MqHLr1WzEY"
partisan,I hope Senate Dems will seriously consider this amdt &amp; will not throw our veterans &amp; unemployed under the bus. http://t.co/AfMklJ30LP
partisan,Admin reached deal w the man who bragged of advancing #nukes prgrm thru deception. I remain skeptical. #NKorea all over again.
partisan,Breaking the Silence on the IRS Outrage: http://t.co/bX27ADwu2O via @NewYorkObserver #IRStargeting
neutral,"Going to be talking w @GolfChannel about #MemorialTournament and my efforts for Congressional Gold Med for #GoldenBear, Jack Nicklaus"
neutral,RT @washingtonpost: A transcript of President Obama's speech http://t.co/D6i5rT1wpd #MarchonWashington #MOW50
neutral,MT @YubaSutterArts Do you know a student who wants his/her #art displayed at the US Capitol? http://t.co/ReyUuvxuix
partisan,@SenRandPaul deserves an answer from Obama Admin questions abt use of force on U.S. Citizens in U.S.(http://t.co/xb7RkjYWCu)
neutral,Great to meet @horizonbeverage employees. So glad to have them working in NH http://t.co/Vmta6dwA6u
neutral,Today the House voted in favor of the National Flood Insurance Fund. This protects over 1300 #Isaac claim payments from being delayed too.
partisan,"Apropiado q Maduro + Ortega juntos en #Nicaragua, ambos manipuladores d elecciones. #Venezuela + Nicaragua necesitan elecciones libres."
neutral,Have a great Labor Day weekend #Indy! Safe travels to you and your family.  I hope to see you out and about in the district.
neutral,@dwaynebenji Thank you so much Dwayne!!!!
neutral,"RT @PerkasieBorough: Due to the extreme flooding, CALLOWHILL STREET from 3rd to Walkers Way is currently closed. http://t.co/6GDTkQbpEZ"
partisan,Senator Obama debates President Obama: http://t.co/00kQ8qQlaa via @wtcommunities
neutral,"It's Our Job to Pass Laws, Not Give Favors to Foreign Oil Corporations #Keystone
http://t.co/bnHVoNDFlZ"
neutral,At the 3rd Annual Foothills Homeless Veterans Stand Down. Thank you to the over 150 volunteers for‰Ű_ http://t.co/DRNI8n8e37
neutral,"Thanks again to @AlGore for making the time to speak at #EEDayRI.  And ICYMI, here is the video of his speech: http://t.co/h5oGI3gj9a"
partisan,Was glad to welcome Jason Smith to Congress and witness his swearing today. He is an outstanding leader who will represent MO-8 well.
neutral,@et_disclosure I got your message.
partisan,Great to be at @nnedv breakfast to support efforts to end domestic violence http://t.co/cPdvu76fY6
partisan,#tbt President FDR signed #SocialSecurity Act into law #OTD in 1935. It‰ŰŞs up to us to preserve &amp; protect it now. http://t.co/b2YYBXS3uG
neutral,My thoughts and prayers are with those affected by the recent storms in the U.S.!
neutral,A #GOPshutdown will mean the @SBAgov will stop processing loans to American #SmallBusinesses. #EnoughAlready!
neutral,"Live on @DennisDMZ today at 12:45p ET. Dennis out today, @ChristianDMZ guest hosts. Listen live: http://t.co/koyYMOD9Ky"
neutral,RT @ncfarmbureau: #FarmBill 2013 Voted out of Senate Ag Committee yesterday now House Ag Committee on schedule to vote their version tonight
neutral,RT @J_Insider: Kosher restaurant caters to a new Newark | NJJN http://t.co/w6GNv6oYA7 @corybooker
neutral,Ex-official claims Clinton allies scrubbed #Benghazi docs in secret sessions http://t.co/G7XYhDvM0G
neutral,"Delaney Op-Ed in Washington Post: Debt Prioritization Not Rooted in Financial Reality, Bad for Nation‰ŰŞs Standing
 http://t.co/BU7Lj9nbYC"
neutral,@living_rights Thanks so much for checking in. All is going well in this Vegan journey.
partisan,Headed to @WhiteHouse for the signing of bipartisan worker training bill to modernize our workforce development system #WIOA
partisan,Tune In: Sec. Kerry is testifying about #syria before the @HASCRepublicans. Watch - http://t.co/5ZzHknJco2
partisan,The GOP proposal sets no cap on interest rates &amp; could cost students thousands of extra dollars. #DontDoubleMyRate http://t.co/MiIqmRQ1Uj
partisan,We are running late. Heading there now. The mayor VS me. RT @TheClimateHawk we showed up at the showdown.  Watch out for hole 6!
neutral,"Congrats to @SouthwestAir: 43 yrs ago, 1st flights out of @DallasLoveField. We LUV having you serve #TX27 via @CCIntAirport &amp; @AUStinAirport"
partisan,Via @CNN: ‰ŰĎDemocratic senator asks Obama to delay #Obamacare deadline‰Űť http://t.co/tvbzBSaU99 #FairnessForAll
neutral,Did you know I am on Instagram? Check it out and follow me! http://t.co/nx05a6uSlE http://t.co/4mLeZz3vcy
neutral,Joined by colleague Congresswoman Tulsi Gabbard at Celebrity Charity Classic http://t.co/9qnZegKRPv
neutral,"Join me, @SenWarren @MayorTomMenino &amp; Rep Capuano at Faneuil Hall #Boston today at 11AM. #DemandAction @nomorenames http://t.co/Q5ulw6lgm4"
neutral,Excellent. Please RT: WSJ: It was not the Declaration of Independence that gave us freedom but the Continental Army. http://t.co/dgmSKoWzVa
partisan,But I remain concerned about the denial and insensitivity expressed in his initial response.
partisan,Today‰ŰŞs Supreme Court action continues the march of progress towards #marriageequality for all: http://t.co/L41phSwCFY #26statestogo
neutral,Here's a clip of me speaking at the GOP leadership press conference this morning #FairnessForAll http://t.co/B6xS8mji8U
partisan,Find out how what happens in Washington can impact you http://t.co/xPKRywPld8 http://t.co/TuK7Mb0pVm
neutral,V plsd to see @CDCgov report showing childhood obesity falling in many states incl #NY http://t.co/qnopVen5C2 But we must cont. to do more!
neutral,"@keysoffaith Hmm that's odd, here's another link: http://t.co/oS1EZVmCwL"
neutral,"the supreme Court shall have appellate Jurisdiction, both as to Law and Fact, with such Exceptions,"
partisan,READ: Our letter to POTUS on reforming the #VA. He must lay out a vision for mending what is clearly a broken system http://t.co/EX5z6szspr
neutral,RT @NRECAintl: Thx @SenMarkPryor for recognizng our AR volunteers' recent work in Guatemala! @highleyunlikely @melfly1  #coopsindc http://t‰Ű_
neutral,After a #LaborDay picnic in #ErieCounty now Penny &amp; I now visiting the #Waterford Fair
neutral,Honored to attend today's Inaugural ceremony. http://t.co/j9Fl4fvI
partisan,"@GhostreconLee - I'm a proud cosponsor of HR 3546, which would extend this critical lifeline for one year. #RenewUI http://t.co/8Uey04mOEi"
neutral,MT @RepLindaSanchez: @HouseGOP shouldn't limit access to quality #EarlyEd. We should instead invest in our future! http://t.co/mFH6nJMicd
partisan,"ICYMI: I spoke on the Senate floor today on our need for energy independence and the Keystone Pipeline. 
Watch: http://t.co/LdWoY3rGSf"
partisan,RT @AppropsDems: .@RepDavidEPrice : continuing to slash investments in our communities is highly irrational and damaging to economy and Con‰Ű_
partisan,"Said on @nbc6: even though airstrikes r long overdue, I support action though #Obama shouldn't circumvent #Congress https://t.co/TYQZlguwns"
neutral,It‰ŰŞs 10/10 and I support HR 1010 that will #RaisetheWage to $10.10 an hour. #Timefor1010
neutral,1 - False. Lewis &amp; Clark encountered their first grizzly bears in #NorthDakota. #NationalTriviaDay
neutral,great times at #YALcon13 @YALiberty http://t.co/CJssIcVk4b
neutral,Our Founders created a series of checks and balances for our democracy to prevent any branch of government from becoming too powerful.
partisan,"Since Obama Took Office, we have lost 592,000 manufacturing jobs.  http://t.co/q7VTz1Y7fK #SpeechesDontHire"
neutral,To honor Sakia Gunn‰ŰŞs memory let‰ŰŞs take real action for LGBTQ #Equality &amp;against violence/discrimination @AAOGCNewark http://t.co/5SVBu2sIUK
partisan,"@egpvokpvalleyok Actually, I voted against the BCA defense cuts known as sequester. http://t.co/V2tNpFF3GM"
partisan,Introduced the GROWTH Act today w/ @DentPressShop to reform #unemployment insurance while bolstering job creation: http://t.co/x0Tc8sSjtj
partisan,"I joined @RepDuckworth &amp; a bipartisan group to introduce the MOM Act, extending maternity leave for military mothers."
neutral,"ACA requires insurers to spend 80% of premiums on medical care, as a result 8.5M Americans got a rebate #GetCovered http://t.co/jdphG4Ev3g"
neutral,Headed to @NatResources hearing on American Energy Jobs w/ @mikeroweworks testifying. Watch live: http://t.co/NLLmeicpx6
neutral,"Larry Webb w/City of Rio Rancho says conservation is big deal, but low-hanging fruit when it comes water alternatives. #NMWaterInnovation"
neutral,Inspired effort by #Navy vs #OSU today - proud of the Midshipmen! #GoNavy
neutral,There are many resources available to those who struggle with suicidal thoughts.-Joe
neutral,I will join @tperkins on his show today at 5:25pm EST/4:25pm CST. You can listen here: http://t.co/MLa7xs5NpW
partisan,"With the President continuing to abuse his power, pls read my new e-newsletter, ""Enforcing the Law is Not Optional"": http://t.co/mUwUo6xOiY"
neutral,Thanks to Scituate High School‰ŰŞs AP government class for having me today to discuss civic engagement &amp; the future of our state.
neutral,Jumped off the top of a perfectly good stadium!
partisan,They‰ŰŞll get only longer under #ACA ‰ŰĎChicago-area hospitals top Crain's list of the longest ER waits.‰Űť -@CrainsChicago http://t.co/5DiWAYkniQ
neutral,Enjoyed touring Dell‰ŰŞs facility in Nashua this morning http://t.co/D3crN2QBzs
partisan,"Hancock Co.mtg - 82ppl in Garner. Qs abt SSNotch, Debt, Guns, homeland Security,PTSD, WHTours, GayMarriage, TermLimits, CropInsur, Farm Bill"
partisan,@americasvoice working off left wing Playbook. Don't agree with the version of #immigrationreform they want?Then you are a hater.
neutral,A great lunch at Hotel Congress in #Tucson - one of the great historic hotels of #Arizona http://t.co/Z6uIyIFX
partisan,"I believe that in America if you work hard &amp; play by the rules, you should be able to get ahead #PaycheckFairness   
http://t.co/Vl8RimfIXa"
neutral,Thnx @SenatorBarb Mikulski @SenBlumenthal @maziehirono 4 cosponsoring the Smartphone Theft Prevention Act.1/3 of burglaries are now cells!
neutral,".@wecanwait @HuffPostParents I had pen pal. It‰ŰŞs different, b/c real time, no pause button, lag time between what‰ŰŞs said or should be said."
